PU_Borough,DO_Borough,pickup_ampm,pickup_hour,pickup_min_block,avg_duration,var_duration,TLI,avg_passenger_count,avg_trip_distance,avg_total_amount
Manhattan,Bronx,AM,6,0,22,568,0.44,1.256317689530686,9.26,33.96
Queens,Staten Island,PM,9,15,43,558,0.22,1.3137254901960784,26.6,89.53
Staten Island,Brooklyn,AM,1,15,23,95,0.07,1.0,5.29,49.15
Bronx,Staten Island,PM,4,45,114,1398,0.2,1.0,10.4,95.85
Brooklyn,Queens,AM,7,45,34,1181,0.58,1.2872340425531914,315.09,48.96
Bronx,Queens,AM,1,0,22,547,0.42,1.8333333333333333,9.7,45.35
Manhattan,Bronx,AM,5,45,21,492,0.4,1.2591792656587473,8.92,32.86
Staten Island,Staten Island,PM,12,45,31,2552,1.39,1.3846153846153846,1.53,31.5
Brooklyn,Manhattan,PM,3,45,30,1148,0.64,1.4775132275132274,134.24,31.39
Bronx,Staten Island,PM,5,0,103,1126,0.18,1.0,30.12,100.6
Queens,Queens,AM,5,15,14,1170,1.41,1.433093994778068,6.31,36.28
Brooklyn,Manhattan,PM,4,0,30,964,0.54,1.467403314917127,5.33,33.55
Brooklyn,Queens,AM,8,0,34,874,0.43,1.2244897959183674,11.37,47.64
Brooklyn,Manhattan,AM,1,30,21,541,0.43,1.455958549222798,5.58,30.11
Queens,EWR,PM,9,30,52,532,0.17,1.6428571428571428,33.01,137.57
Manhattan,Staten Island,PM,7,15,47,751,0.27,1.2962962962962965,18.23,83.7
Staten Island,Staten Island,AM,10,30,66,3185,0.8,1.0,0.2,106.36
Brooklyn,Staten Island,AM,9,30,45,1198,0.44,1.0,21.13,69.65
Staten Island,Bronx,AM,7,0,47,389,0.14,1.0,27.22,76.51
Queens,Staten Island,AM,7,0,51,707,0.23,1.2444444444444445,25.27,81.14
Queens,Staten Island,AM,6,45,50,734,0.24,1.5555555555555556,25.99,92.58
Staten Island,Bronx,AM,6,45,52,173,0.06,1.0,26.33,76.73
Manhattan,Brooklyn,AM,9,30,27,755,0.46,1.3776703967446593,6.98,33.39
Manhattan,Bronx,PM,12,30,30,960,0.53,1.351714862138534,90.06,39.45
Bronx,Manhattan,PM,9,30,21,541,0.42,1.2738095238095235,4.49,26.39
Queens,Queens,PM,12,0,15,1484,1.67,1.3704106017814468,5.84,26.96
Bronx,Bronx,PM,5,30,20,951,0.81,1.2007722007722008,2.56,22.61
Staten Island,Staten Island,PM,8,15,45,2892,1.07,1.6363636363636365,0.81,49.14
Manhattan,Staten Island,AM,4,45,36,498,0.23,1.8888888888888888,16.51,68.42
Manhattan,Queens,PM,10,0,23,1070,0.78,1.364431773495871,6.55,32.24
Queens,Bronx,PM,9,45,28,621,0.37,1.373929590865842,15.85,57.47
Manhattan,EWR,PM,7,30,40,591,0.25,1.5906313645621182,17.89,97.31
Manhattan,Staten Island,AM,5,0,35,517,0.24,1.4375,19.97,69.09
Queens,Bronx,AM,7,30,43,1699,0.66,1.380952380952381,17.16,61.94
Staten Island,Brooklyn,PM,3,15,38,1573,0.68,1.3333333333333333,8.67,46.97
Manhattan,Manhattan,AM,9,30,13,545,0.72,1.3317496705316898,5.77,15.85
Brooklyn,EWR,AM,4,15,33,510,0.26,1.3333333333333333,17.6,96.4
Queens,Brooklyn,AM,10,15,34,1794,0.88,1.393629388514299,12.57,47.23
Manhattan,Bronx,PM,7,45,27,711,0.44,1.348977135980746,8.82,35.67
Bronx,Queens,PM,2,45,48,932,0.33,1.0483870967741935,9.5,49.77
Brooklyn,Queens,PM,9,45,23,620,0.45,1.3245614035087718,6.33,30.93
Queens,Queens,PM,7,15,15,1267,1.37,1.413726393367112,6.34,30.22
Manhattan,Bronx,PM,8,0,27,648,0.41,1.3667214012041595,8.64,34.96
Staten Island,Queens,PM,11,0,42,0,0.0,1.0,0.0,73.55
Staten Island,Staten Island,AM,6,0,10,406,0.69,1.0,0.11,19.63
Staten Island,Staten Island,AM,5,45,15,1471,1.65,1.1666666666666667,0.63,22.94
Brooklyn,Brooklyn,AM,12,45,12,1127,1.62,1.3323550990462216,2.53,18.96
EWR,EWR,AM,9,30,0,29,1.23,1.6666666666666667,0.27,107.36
Bronx,Queens,PM,3,0,51,1277,0.42,1.088235294117647,7.28,42.37
Staten Island,Bronx,PM,8,45,49,142,0.05,1.0,26.82,87.88
Queens,Staten Island,PM,8,45,44,562,0.21,1.4848484848484849,25.43,87.14
Brooklyn,EWR,PM,11,0,25,0,0.0,1.0,16.74,187.6
Queens,Queens,AM,5,0,12,1024,1.39,1.4097682119205297,26.75,35.33
Bronx,Queens,AM,12,15,24,476,0.33,1.2352941176470589,9.76,43.44
Staten Island,Brooklyn,AM,1,0,29,339,0.2,1.0,0.0,49.14
Brooklyn,Queens,AM,7,30,34,939,0.46,1.210843373493976,11.69,48.38
Bronx,Staten Island,PM,4,30,79,1406,0.3,1.0,9.9,93.41
Brooklyn,EWR,PM,10,45,37,0,0.0,1.0,30.06,175.3
Manhattan,Queens,PM,5,15,48,1352,0.47,1.4897228566137892,23.29,56.73
Brooklyn,Manhattan,PM,3,30,29,906,0.52,1.5013192612137205,5.27,30.7
Queens,Queens,AM,4,45,12,779,1.1,1.3732604373757455,5.28,36.21
EWR,Brooklyn,AM,1,0,29,0,0.0,1.0,19.57,60.0
Staten Island,Staten Island,PM,12,30,69,7572,1.84,1.2857142857142858,3.12,67.14
Manhattan,Bronx,AM,5,30,21,452,0.37,1.2459016393442623,8.4,30.87
Queens,Staten Island,PM,9,0,45,570,0.21,1.2537313432835822,26.32,91.71
Staten Island,Queens,PM,6,15,78,1395,0.3,1.5,6.82,77.94
Manhattan,Queens,AM,2,45,21,712,0.56,1.4025325485999642,50.71,30.69
Brooklyn,Brooklyn,AM,8,15,20,910,0.76,1.166988416988417,2.57,19.95
Brooklyn,Manhattan,AM,12,45,21,544,0.43,1.4160982264665758,5.66,29.96
Staten Island,Bronx,AM,6,30,48,495,0.17,1.0,25.63,81.32
EWR,Queens,AM,7,15,41,0,0.0,3.0,26.99,131.25
Manhattan,Staten Island,PM,6,45,48,1216,0.42,1.236842105263158,16.08,82.63
Manhattan,Queens,AM,3,0,21,520,0.41,1.3817343173431735,7.37,32.22
EWR,Manhattan,PM,3,15,49,488,0.16,1.6666666666666667,22.85,94.38
Queens,Manhattan,AM,10,15,39,1527,0.66,1.4797864933859364,12.52,56.09
Manhattan,Staten Island,PM,7,0,51,1040,0.34,1.2291666666666667,19.2,86.8
Queens,Staten Island,AM,6,30,46,756,0.28,1.59375,25.78,88.28
Queens,Brooklyn,PM,12,15,37,1463,0.66,1.3916737468139335,13.17,48.46
Staten Island,Queens,AM,3,45,35,0,0.0,3.0,25.74,75.0
Staten Island,Staten Island,PM,7,45,40,3781,1.56,1.6,1.31,88.41
Manhattan,Staten Island,AM,4,30,40,1003,0.42,1.1538461538461535,20.18,70.54
Queens,Bronx,PM,9,30,27,1489,0.91,1.382841328413284,15.9,56.65
Staten Island,Staten Island,PM,8,0,47,2423,0.85,1.0,2.02,68.29
Brooklyn,EWR,PM,6,15,50,715,0.24,1.1428571428571428,18.0,112.55
Brooklyn,EWR,AM,4,0,29,357,0.21,2.4,16.68,90.39
Queens,Queens,PM,6,45,16,1200,1.23,1.4287786744038444,6.06,30.88
Brooklyn,Manhattan,AM,8,15,33,1025,0.53,1.1817453963170537,28.79,33.98
Manhattan,Brooklyn,PM,10,15,25,700,0.46,1.4009789924535998,6.46,32.75
Bronx,Queens,PM,2,30,48,1199,0.42,1.0232558139534884,10.59,49.18
Queens,EWR,AM,1,15,46,414,0.15,1.6,32.33,150.56
Staten Island,Staten Island,AM,5,30,1,65,0.94,2.5,1.0,25.05
Staten Island,Brooklyn,PM,3,0,37,1552,0.69,1.2727272727272727,8.48,49.97
Bronx,Staten Island,AM,9,15,81,1242,0.26,1.0,21.55,78.96
Queens,Queens,PM,7,0,16,1165,1.18,1.4401586157173756,6.17,30.99
Manhattan,Bronx,PM,7,30,27,1030,0.64,1.3365994236311238,8.83,34.79
Brooklyn,Staten Island,PM,10,15,43,388,0.15,1.0,6.82,56.04
Staten Island,Queens,PM,10,30,52,0,0.0,1.0,0.0,71.55
EWR,Queens,AM,11,30,61,0,0.0,1.0,0.06,92.3
Brooklyn,Queens,PM,9,30,25,628,0.41,1.2685185185185186,7.28,34.78
