BOROUGH,tf_ampm,tf_hour,tf_min_block,avg_speed,CI
Staten Island,AM,10,15,37.939674070188914,0.24120651859622166
Brooklyn,PM,07,30,34.79773122372811,0.30404537552543787
Queens,PM,12,15,38.02292912045395,0.23954141759092096
Bronx,PM,09,15,36.72510042652869,0.2654979914694262
Staten Island,AM,04,15,42.650026504880685,0.14699946990238633
Staten Island,AM,11,00,37.612902403936666,0.2477419519212667
Queens,PM,06,15,32.60357356788679,0.3479285286422642
Staten island,AM,01,15,40.432811004784696,0.19134377990430607
Staten Island,AM,05,00,43.17291073033859,0.13654178539322814
Queens,PM,07,00,35.413759639554684,0.29172480720890637
Staten island,AM,02,00,40.574555715658015,0.18850888568683966
Staten island,AM,10,45,37.08781520467837,0.2582436959064326
Staten Island,AM,07,45,38.01761605419137,0.23964767891617256
Staten Island,PM,02,45,35.36400356998521,0.29271992860029583
Queens,PM,09,45,41.931370439830616,0.16137259120338765
Staten island,AM,11,30,36.79980327868851,0.2640039344262298
Manhattan,AM,01,00,22.804723725815958,0.5439055254836809
Staten Island,AM,08,30,37.794296825901014,0.24411406348197973
Staten island,AM,04,45,40.983001902949546,0.1803399619410091
Staten Island,PM,03,30,34.20924760191849,0.3158150479616302
Staten island,AM,05,30,41.16195413282369,0.17676091734352628
Manhattan,AM,03,45,24.766945536302664,0.5046610892739467
Staten island,PM,07,15,37.50885265133739,0.24982294697325214
Manhattan,AM,10,30,22.823757920316137,0.5435248415936773
Brooklyn,AM,10,00,33.64291319813256,0.32714173603734875
Brooklyn,AM,03,15,41.54080477352313,0.16918390452953747
Manhattan,AM,04,30,27.23282981397297,0.4553434037205406
Staten island,PM,08,00,38.627469150174655,0.22745061699650693
Brooklyn,AM,04,00,42.30769017261921,0.15384619654761578
Manhattan,PM,12,15,23.066521173703816,0.5386695765259237
Manhattan,PM,06,15,18.78044923697439,0.6243910152605121
Bronx,AM,01,45,39.55631584919824,0.20887368301603515
Manhattan,PM,07,00,20.94889206029543,0.5810221587940914
Brooklyn,AM,12,45,39.679345840008025,0.20641308319983953
Bronx,AM,02,30,40.26654872226905,0.19466902555461896
Brooklyn,PM,01,45,33.09633702324771,0.33807325953504574
Bronx,PM,10,15,37.53132752179329,0.2493734495641342
Brooklyn,AM,06,45,35.59409032618499,0.2881181934763002
Brooklyn,PM,02,30,31.95517913820997,0.36089641723580057
Bronx,AM,09,15,32.38578056848706,0.3522843886302589
Queens,AM,12,15,43.571376103365175,0.12857247793269655
